Area name,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over,Aged 90 years and over,Con,Lab,LibDem,Green,Other,Vacant,Majority
Blaby,0.055393586,0.060252672,0.059280855,0.051506317,0.04664723,0.059280855,0.067055394,0.066083576,0.062196307,0.064139942,0.07191448,0.068999028,0.06122449,0.052478134,0.056365403,0.040816327,0.029154519,0.017492711,0.026239067,0.538461538,0.153846154,0.153846154,0.025641026,0.076923077,0.051282051,CON
Blackburn with Darwen,0.065245478,0.072351421,0.075581395,0.070413437,0.061369509,0.065245478,0.068475452,0.069767442,0.064599483,0.063953488,0.066537468,0.060723514,0.051679587,0.043281654,0.04005168,0.026485788,0.01873385,0.010981912,0.016795866,0.254901961,0.725490196,0.019607843,0,0,0,LAB
Blackpool,0.052445074,0.055988661,0.055988661,0.052445074,0.052445074,0.060949681,0.067328136,0.060240964,0.054571226,0.060949681,0.074415308,0.077958894,0.066619419,0.054571226,0.055988661,0.041105599,0.029766123,0.017009213,0.026222537,0.30952381,0.476190476,0,0,0.214285714,0,NOC
Bolsover,0.051058531,0.056039851,0.056039851,0.04856787,0.052303861,0.066002491,0.067247821,0.062266501,0.054794521,0.064757161,0.079701121,0.074719801,0.066002491,0.054794521,0.054794521,0.04358655,0.02615193,0.01494396,0.02241594,0.081081081,0.513513514,0,0,0.378378378,0.027027027,LAB
Bolton,0.0625,0.068918919,0.07027027,0.061824324,0.056081081,0.060135135,0.067567568,0.06722973,0.0625,0.063513514,0.067905405,0.064864865,0.05472973,0.046959459,0.047972973,0.034121622,0.022972973,0.012837838,0.019594595,0.416666667,0.316666667,0.083333333,0,0.183333333,0,NOC
Boston,0.05106383,0.059574468,0.060992908,0.053900709,0.05106383,0.060992908,0.068085106,0.066666667,0.059574468,0.065248227,0.068085106,0.069503546,0.060992908,0.053900709,0.053900709,0.041134752,0.028368794,0.017021277,0.026950355,0.433333333,0.066666667,0,0,0.466666667,0.033333333,NOC
"Bournemouth, Christchurch and Poole",0.047214589,0.05296028,0.053210092,0.055708219,0.067449413,0.059455408,0.065450912,0.065450912,0.063452411,0.061703722,0.0671996,0.06620035,0.058456158,0.051961029,0.056457657,0.042717962,0.030726955,0.020484637,0.033974519,0.434210526,0.039473684,0.171052632,0.026315789,0.315789474,0.013157895,NOC
Bracknell Forest,0.056982343,0.063402889,0.065008026,0.056982343,0.051364366,0.065810594,0.074638844,0.075441413,0.073836276,0.070626003,0.07223114,0.06741573,0.055377207,0.044141252,0.040128411,0.028089888,0.019261637,0.012038523,0.018459069,0.880952381,0.095238095,0.023809524,0,0,0,CON
Bradford,0.066068814,0.072474378,0.075768668,0.069180088,0.060578331,0.063140556,0.06954612,0.069912152,0.06533675,0.061859444,0.062774524,0.058931186,0.052708638,0.044106881,0.040995608,0.026354319,0.020314788,0.012994143,0.020131772,0.222222222,0.577777778,0.066666667,0.066666667,0.066666667,0,LAB
Braintree,0.054768041,0.057989691,0.06056701,0.052835052,0.048324742,0.059278351,0.06378866,0.0625,0.06121134,0.067654639,0.076675258,0.071520619,0.05992268,0.054123711,0.057989691,0.040592784,0.027061856,0.015463918,0.024484536,0.673469388,0.06122449,0,0.12244898,0.12244898,0.020408163,CON
Breckland,0.048056537,0.054416961,0.054416961,0.047349823,0.047349823,0.057243816,0.060070671,0.055123675,0.054416961,0.060777385,0.071378092,0.074204947,0.065724382,0.062190813,0.068551237,0.051590106,0.034628975,0.021201413,0.033215548,0.714285714,0.142857143,0,0.040816327,0.081632653,0.020408163,CON
Brent,0.058858152,0.05826957,0.061506769,0.060623896,0.072395527,0.086227192,0.087698646,0.08151854,0.074749853,0.067981165,0.067098293,0.058563861,0.048263685,0.036197763,0.028251913,0.020600353,0.016185992,0.009711595,0.015008829,0.087719298,0.859649123,0.052631579,0,0,0,LAB
Brentwood,0.055844156,0.05974026,0.058441558,0.050649351,0.046753247,0.061038961,0.067532468,0.064935065,0.064935065,0.064935065,0.072727273,0.072727273,0.058441558,0.049350649,0.051948052,0.037662338,0.028571429,0.020779221,0.033766234,0.513513514,0.054054054,0.378378378,0,0.027027027,0.027027027,CON
Brighton and Hove,0.042207792,0.046897547,0.051226551,0.064213564,0.101010101,0.075757576,0.073953824,0.06998557,0.06962482,0.073593074,0.075396825,0.066378066,0.049062049,0.039321789,0.037157287,0.025613276,0.018759019,0.012265512,0.02020202,0.185185185,0.296296296,0,0.37037037,0.12962963,0.018518519,NOC
Bristol,0.054826418,0.056731583,0.054191363,0.062658764,0.100550381,0.093988146,0.092929721,0.080016935,0.066045724,0.057366638,0.055884843,0.052921253,0.043395428,0.035774767,0.033869602,0.023920406,0.017358171,0.011007621,0.017781541,0.2,0.342857143,0.071428571,0.357142857,0.028571429,0,NOC
Broadland,0.044798785,0.051632498,0.054669704,0.047835991,0.041761579,0.049354594,0.054669704,0.056188307,0.05770691,0.065299924,0.075170843,0.075930144,0.066818527,0.062262718,0.069855733,0.0523918,0.037965072,0.023538345,0.036446469,0.595744681,0.042553191,0.255319149,0.042553191,0.021276596,0.042553191,CON
Bromley,0.059090909,0.062424242,0.063333333,0.052121212,0.044545455,0.055454545,0.067878788,0.075151515,0.076060606,0.071818182,0.072424242,0.067878788,0.055454545,0.043939394,0.046666667,0.033939394,0.024848485,0.016969697,0.027272727,0.603448276,0.206896552,0.086206897,0,0.103448276,0,CON
Bromsgrove,0.052419355,0.057459677,0.061491935,0.053427419,0.043346774,0.048387097,0.055443548,0.058467742,0.060483871,0.066532258,0.075604839,0.074596774,0.063508065,0.057459677,0.058467742,0.047379032,0.032258065,0.021169355,0.034274194,0.580645161,0.096774194,0.096774194,0,0.225806452,0,CON
Broxbourne,0.060606061,0.062626263,0.063636364,0.055555556,0.052525253,0.061616162,0.070707071,0.071717172,0.067676768,0.064646465,0.072727273,0.068686869,0.055555556,0.043434343,0.045454545,0.034343434,0.025252525,0.016161616,0.025252525,0.866666667,0.1,0,0,0,0.033333333,CON
Broxtowe,0.047790803,0.055004509,0.054102795,0.051397656,0.056807935,0.064021641,0.067628494,0.063119928,0.058611362,0.061316501,0.070333634,0.071235347,0.061316501,0.054102795,0.060414788,0.04418395,0.030658251,0.018935978,0.028854824,0.431818182,0.318181818,0.159090909,0,0.090909091,0,NOC
Buckinghamshire,0.055866932,0.063641295,0.066534081,0.055686133,0.046284578,0.054601338,0.061833303,0.065810884,0.069065268,0.069607666,0.073585247,0.071054059,0.059121316,0.048454167,0.048996565,0.036883023,0.026577472,0.016814319,0.026577472,0.761904762,0.040816327,0.108843537,0.006802721,0.081632653,0,CON
Burnley,0.06124604,0.065469905,0.066525871,0.058078141,0.054910243,0.064413939,0.071805702,0.066525871,0.060190074,0.060190074,0.066525871,0.066525871,0.059134108,0.049630412,0.050686378,0.034846885,0.02217529,0.012671595,0.020063358,0.133333333,0.422222222,0.177777778,0.133333333,0.111111111,0.022222222,NOC
Bury,0.057791538,0.064499484,0.066047472,0.057791538,0.049535604,0.059339525,0.069659443,0.069143447,0.062435501,0.064499484,0.069143447,0.069659443,0.058307534,0.048503612,0.051599587,0.036119711,0.024767802,0.014447884,0.021671827,0.235294118,0.549019608,0.019607843,0,0.196078431,0,LAB
Calderdale,0.054695063,0.06195547,0.064375605,0.056147144,0.048886738,0.058083253,0.062439497,0.062923524,0.060987415,0.066795741,0.076476283,0.073088093,0.062439497,0.052758955,0.053727009,0.037270087,0.024201355,0.014036786,0.022265247,0.294117647,0.549019608,0.117647059,0.019607843,0.019607843,0,LAB
Cambridge,0.043239533,0.0459849,0.045298559,0.078929307,0.140013727,0.111873713,0.092656143,0.072065889,0.062457104,0.054907344,0.05353466,0.047357584,0.036376115,0.031571723,0.028140014,0.021276596,0.015785861,0.010295127,0.017158545,0,0.666666667,0.214285714,0.071428571,0.023809524,0.023809524,LAB
Cambridgeshire,0.050839965,0.057029178,0.05717654,0.056734453,0.064692013,0.068081344,0.070439139,0.067344533,0.0651341,0.065576186,0.068818155,0.066165635,0.055702918,0.048776894,0.050397878,0.037282641,0.025493663,0.01532567,0.024462128,0.442622951,0.147540984,0.360655738,0,0.049180328,0,NOC
Camden,0.047596383,0.047120419,0.049500238,0.065683008,0.096144693,0.104712042,0.097572584,0.078534031,0.069014755,0.063779153,0.063303189,0.056163732,0.043312708,0.033793432,0.030937649,0.022846264,0.015706806,0.009043313,0.014754879,0.054545455,0.836363636,0.090909091,0.018181818,0,0,LAB
Cannock Chase,0.055721393,0.056716418,0.056716418,0.050746269,0.051741294,0.066666667,0.070646766,0.063681592,0.055721393,0.063681592,0.07761194,0.074626866,0.060696517,0.052736318,0.052736318,0.039800995,0.026865672,0.013930348,0.021890547,0.56097561,0.243902439,0.048780488,0.048780488,0.097560976,0,CON
Canterbury,0.043202033,0.048919949,0.053367217,0.080050826,0.100381194,0.055273189,0.053367217,0.052731893,0.052096569,0.057179161,0.062897078,0.06480305,0.057814485,0.054002541,0.059720457,0.043837357,0.029860229,0.017789072,0.029860229,0.487179487,0.230769231,0.153846154,0.025641026,0.076923077,0.025641026,NOC
Castle Point,0.047991071,0.053571429,0.056919643,0.051339286,0.050223214,0.053571429,0.055803571,0.055803571,0.0546875,0.060267857,0.071428571,0.071428571,0.063616071,0.059151786,0.071428571,0.053571429,0.036830357,0.021205357,0.03125,0.365853659,0,0,0,0.634146341,0,IND
Central Bedfordshire,0.060503059,0.062882393,0.060842964,0.050305914,0.047586676,0.061182869,0.072059823,0.070700204,0.066281441,0.065941536,0.071719918,0.071380014,0.059483345,0.048946295,0.04996601,0.036029912,0.023453433,0.013936098,0.021414004,0.661016949,0.016949153,0.050847458,0,0.254237288,0.016949153,CON
Charnwood,0.050027189,0.053833605,0.053833605,0.074497009,0.08754758,0.059815117,0.064165307,0.06307776,0.058183796,0.059815117,0.066884176,0.063621533,0.057096248,0.050570962,0.050570962,0.037520392,0.025013594,0.01576944,0.024469821,0.711538462,0.230769231,0,0.019230769,0.038461538,0,CON
Chelmsford,0.054545455,0.059504132,0.060606061,0.05399449,0.050137741,0.063360882,0.067768595,0.067768595,0.066666667,0.068319559,0.07107438,0.066666667,0.056198347,0.048484848,0.053443526,0.038567493,0.026997245,0.01707989,0.026997245,0.368421053,0,0.50877193,0,0.087719298,0.035087719,LD
